carrier_name	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Alaska Airlines Inc.	21.095440045030752	18.165363364664245	20.186006326543936	26.83492894715118	24.830080891402183	29.797381669793573	37.71748632165887	37.6253368605331	37.43385559230687	34.41156494690285	42.47505289739859	38.3180191468736	36.16047780855112	38.13127846174938	37.27178621800482	44.026093724149874
American Airlines Inc.	33.50298374004943	29.7621672493481	28.63266565247391	27.762637850994142	25.04535696776708	26.339906251967076	24.229801794135422	24.87656783289953	24.747851855579	26.8498024081728	21.184623202825538	22.16590913398808	22.398922612830034	25.980645224914653	28.987225509272918	23.56425576831075
Delta Air Lines Inc.	46.74313054334559	37.41232785068966	31.04403087537149	31.929596290281843	32.86228896092342	36.82421740746883	36.16010330542675	26.97833423540918	27.958154106955984	26.813402508623145	25.558577117070662	26.041372190841937	23.22776169704006	23.632948504112797	22.130271501711412	23.205764352694302
ExpressJet Airlines Inc.	48.970594291503275	49.100504448090554	39.07623889229684	34.87170559280566	27.930155570343846	28.6307969799945	36.85847821452969	27.065349147029206	22.00130226935038	18.33113852095773	22.941193865150463	22.36588968388493	25.199099052030462	22.6079326153041	21.496924511472177	25.114327050079847
Hawaiian Airlines Inc.	0.7239573291906519	1.7376337681277216	1.799238180022742	1.537381969317221	0.7803129810888714	0.39035350188001167	0.5565369106656023	0.6094845233069933	0.5065031574987389	0.8901641452586677	1.3070422311962646	2.0520075813702916	1.52105690563284	1.147298856513792	1.650705980558691	1.5260125676167822
JetBlue Airways	38.68827841957442	39.16758690081737	44.13555264905275	47.57192122271135	40.41768380892471	39.94615626589212	37.096897059222314	28.995040206547248	30.85583110229864	28.34932769944502	32.57470105096798	31.61794567074834	27.39971480668859	24.3536277589649	23.015831734580594	22.5959252518325
SkyWest Airlines Inc.	7.810852185339222	9.257791362411933	6.339281265636663	2.60834886582945	2.3263726060289565	19.709963655167087	25.325117750396448	22.272581325345048	23.52238637421447	22.641000153442665	22.607114988469085	22.033021360926586	23.222205382538295	24.570719184141495	23.472724232939385	25.271712915999295
Southwest Airlines Co.	16.58818776371068	15.919929435388303	14.921809713650921	13.541307888035346	14.840234152277773	14.567472992713775	13.86013684414858	12.532596236266151	12.804794594575476	13.54290074611909	14.545257069404169	12.78395297462639	14.14898011836214	15.816946934279478	15.649460815531405	13.730417842834026
United Air Lines Inc.	36.361760763285254	34.488682772866596	28.940579615263644	26.23311730666726	25.80874639327246	23.017490067306138	23.348985533419985	24.357497082273206	27.92302757087121	24.21547040607421	24.416432996973676	23.388711036089262	19.706809305278778	19.428688076876323	26.070409647590512	27.40921370641927
